Date       ,Open      ,High      ,Low       ,Close     ,Adj Close ,Volume
2023-01-03 ,33.250000 ,33.549999 ,32.340000 ,32.610001 ,32.312237 , 8640200
2023-01-04 ,32.950001 ,34.470001 ,32.939999 ,34.389999 ,34.075985 ,11318800
2023-01-05 ,34.689999 ,35.570000 ,34.520000 ,35.230000 ,34.908310 ,11332500
2023-01-06 ,35.189999 ,36.070000 ,35.099998 ,36.029999 ,35.701012 ,11110400
2023-01-09 ,36.540001 ,37.419998 ,36.349998 ,36.770000 ,36.434254 ,11251300
2023-01-10 ,36.669998 ,38.169998 ,36.660000 ,38.090000 ,37.742199 ,10283500
2023-01-11 ,37.919998 ,38.700001 ,37.820000 ,38.180000 ,37.831379 ,14336700
2023-01-12 ,38.840000 ,39.619999 ,38.320000 ,39.599998 ,39.238407 ,20052100
2023-01-13 ,36.549999 ,38.290001 ,36.520000 ,38.200001 ,37.851196 ,29120400
2023-01-17 ,38.200001 ,38.360001 ,37.560001 ,38.259998 ,37.910645 ,17803900
2023-01-18 ,39.070000 ,39.320000 ,38.310001 ,38.380001 ,38.029552 ,18661200
2023-01-19 ,37.849998 ,38.439999 ,37.029999 ,38.349998 ,37.999825 ,17006100
2023-01-20 ,38.520000 ,39.200001 ,38.340000 ,39.029999 ,38.673618 ,11998700
2023-01-23 ,39.200001 ,39.310001 ,38.730000 ,39.080002 ,38.723164 ,12459300
2023-01-24 ,39.250000 ,39.459999 ,38.450001 ,38.799999 ,38.445717 , 7679600
2023-01-25 ,38.730000 ,39.500000 ,38.619999 ,39.380001 ,39.020424 ,10181800
2023-01-26 ,39.419998 ,39.509998 ,38.619999 ,39.220001 ,38.861881 , 7618400
2023-01-27 ,39.000000 ,39.220001 ,38.700001 ,38.730000 ,38.376354 , 7298400
2023-01-30 ,38.430000 ,39.389999 ,38.259998 ,38.400002 ,38.049374 , 8982000
2023-01-31 ,38.810001 ,39.110001 ,38.369999 ,39.099998 ,38.742973 , 7919200
2023-02-01 ,38.840000 ,40.080002 ,38.599998 ,39.889999 ,39.525761 ,10781400
2023-02-02 ,40.209999 ,40.340000 ,39.509998 ,39.900002 ,39.535671 ,10322700
2023-02-03 ,39.299999 ,40.009998 ,39.290001 ,39.580002 ,39.218594 , 8279400
2023-02-06 ,39.270000 ,39.840000 ,39.080002 ,39.639999 ,39.278046 , 6453800
2023-02-07 ,39.500000 ,39.770000 ,38.669998 ,39.590000 ,39.228504 , 7994700
2023-02-08 ,40.000000 ,40.310001 ,39.160000 ,39.439999 ,39.079872 , 8942300
2023-02-09 ,39.720001 ,39.970001 ,38.880001 ,39.009998 ,38.653797 , 5840000
2023-02-10 ,38.500000 ,38.540001 ,37.820000 ,38.169998 ,37.821465 , 8190200
2023-02-13 ,38.150002 ,38.740002 ,37.980000 ,38.599998 ,38.247540 , 7842200
2023-02-14 ,38.529999 ,39.250000 ,38.250000 ,39.099998 ,38.742973 , 7286000
2023-02-15 ,38.669998 ,39.259998 ,38.610001 ,39.020000 ,38.663708 , 4151600
2023-02-16 ,38.619999 ,38.790001 ,38.220001 ,38.279999 ,37.930458 , 6273300
2023-02-17 ,38.169998 ,38.430000 ,37.669998 ,38.360001 ,38.009739 , 5961400
2023-02-21 ,37.900002 ,38.090000 ,36.820000 ,37.099998 ,36.761238 , 7276600
2023-02-22 ,37.000000 ,37.459999 ,36.840000 ,37.009998 ,36.672062 , 6220000
2023-02-23 ,37.630001 ,38.139999 ,37.160000 ,37.529999 ,37.187309 , 7620100
2023-02-24 ,36.799999 ,37.400002 ,36.660000 ,37.360001 ,37.018864 , 5482500
2023-02-27 ,37.810001 ,38.209999 ,37.560001 ,37.840000 ,37.494480 , 7961500
2023-02-28 ,37.639999 ,38.730000 ,37.639999 ,38.340000 ,37.989914 , 8203600
2023-03-01 ,38.340000 ,38.669998 ,38.009998 ,38.509998 ,38.158363 , 5983200
2023-03-02 ,38.110001 ,38.549999 ,37.849998 ,38.419998 ,38.069183 , 5295200
2023-03-03 ,38.990002 ,39.240002 ,38.580002 ,38.849998 ,38.495255 , 7160300
2023-03-06 ,38.990002 ,39.270000 ,38.360001 ,38.459999 ,38.108822 , 5238300
2023-03-07 ,38.910000 ,39.770000 ,38.700001 ,39.070000 ,38.713249 ,11338800
2023-03-08 ,39.209999 ,39.740002 ,39.169998 ,39.730000 ,39.367226 , 7836500
2023-03-09 ,39.740002 ,40.299999 ,38.320000 ,38.490002 ,38.138550 , 9930000
2023-03-10 ,38.919998 ,38.919998 ,36.580002 ,37.250000 ,36.909866 ,12931100
2023-03-13 ,36.410000 ,36.560001 ,35.389999 ,35.680000 ,35.354210 ,14734000
2023-03-14 ,36.380001 ,36.490002 ,35.099998 ,35.470001 ,35.146122 ,14902900
2023-03-15 ,34.369999 ,34.500000 ,32.580002 ,33.230000 ,32.926571 ,18703300
2023-03-16 ,33.119999 ,33.889999 ,32.630001 ,33.709999 ,33.402195 ,13436300
2023-03-17 ,33.259998 ,33.349998 ,32.509998 ,32.959999 ,32.659042 ,12989700
2023-03-20 ,33.080002 ,33.520000 ,32.919998 ,33.139999 ,32.837395 , 9241000
2023-03-21 ,33.720001 ,34.139999 ,33.650002 ,33.889999 ,33.580547 , 8366000
2023-03-22 ,33.889999 ,34.020000 ,32.730000 ,32.770000 ,32.470776 ,10330400
2023-03-23 ,33.000000 ,33.349998 ,31.809999 ,32.139999 ,31.846529 ,10506900
2023-03-24 ,31.740000 ,31.860001 ,31.040001 ,31.590000 ,31.301552 ,12647300
